JOB_NAME,PROCESS_RUN_SK,BATCH_SK,BATCH_STATUS,CREATE_TS,STATUS_UPDATE_TS,ROWS_ADDED_COUNT,ROWS_UPDATED_COUNT,ROWS_DELETED_COUNT,ROWS_DUPLICATED_COUNT,ROWS_SKIPPED_COUNT,ROWS_ERROR_COUNT,TARGET_ENTITY
EXP_ZTASSETDISPOSE--GENERIC,3416023946,1075283648,COMPLETED,2024-02-15T15:46:14Z,2024-02-15T15:50:59Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416022730,1075283040,COMPLETED,2024-02-15T15:36:06Z,2024-02-15T15:36:13Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416022292,1075282821,COMPLETED,2024-02-15T15:32:27Z,2024-02-15T15:35:30Z,4224,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416022212,1075282780,COMPLETED,2024-02-15T15:31:46Z,2024-02-15T15:36:55Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416020948,1075282149,COMPLETED,2024-02-15T15:21:15Z,2024-02-15T15:21:23Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416020482,1075281916,COMPLETED,2024-02-15T15:17:22Z,2024-02-15T15:21:13Z,3604,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416020270,1075281810,COMPLETED,2024-02-15T15:15:36Z,2024-02-15T15:19:55Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416019018,1075281184,COMPLETED,2024-02-15T15:05:10Z,2024-02-15T15:05:19Z,-1,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416018648,1075280998,COMPLETED,2024-02-15T15:02:04Z,2024-02-15T15:06:50Z,55175,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416018614,1075280981,COMPLETED,2024-02-15T15:01:47Z,2024-02-15T15:07:10Z,6038,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416017358,1075280354,COMPLETED,2024-02-15T14:51:20Z,2024-02-15T14:51:24Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416016802,1075280076,COMPLETED,2024-02-15T14:46:42Z,2024-02-15T14:50:04Z,3953,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416016682,1075280016,COMPLETED,2024-02-15T14:45:42Z,2024-02-15T14:50:26Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416015440,1075279395,COMPLETED,2024-02-15T14:35:21Z,2024-02-15T14:35:33Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416015094,1075279221,COMPLETED,2024-02-15T14:32:27Z,2024-02-15T14:36:44Z,2601,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416014960,1075279155,COMPLETED,2024-02-15T14:31:21Z,2024-02-15T14:35:06Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416013698,1075278524,COMPLETED,2024-02-15T14:20:50Z,2024-02-15T14:20:58Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416013330,1075278339,COMPLETED,2024-02-15T14:17:45Z,2024-02-15T14:20:59Z,2497,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416013068,1075278208,COMPLETED,2024-02-15T14:15:34Z,2024-02-15T14:20:01Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416011854,1075277602,COMPLETED,2024-02-15T14:05:28Z,2024-02-15T14:05:32Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416011520,1075277435,COMPLETED,2024-02-15T14:02:41Z,2024-02-15T14:09:14Z,4394,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416011386,1075277367,COMPLETED,2024-02-15T14:01:33Z,2024-02-15T14:06:10Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416010168,1075276759,COMPLETED,2024-02-15T13:51:25Z,2024-02-15T13:51:33Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416009674,1075276511,COMPLETED,2024-02-15T13:47:17Z,2024-02-15T13:51:09Z,3903,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416009578,1075276464,COMPLETED,2024-02-15T13:46:30Z,2024-02-15T13:50:56Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416008340,1075275844,COMPLETED,2024-02-15T13:36:10Z,2024-02-15T13:36:34Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416007842,1075275595,COMPLETED,2024-02-15T13:32:01Z,2024-02-15T13:35:55Z,1396,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416007710,1075275530,COMPLETED,2024-02-15T13:30:56Z,2024-02-15T13:35:03Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416006488,1075274919,COMPLETED,2024-02-15T13:20:45Z,2024-02-15T13:20:52Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416006062,1075274705,COMPLETED,2024-02-15T13:17:11Z,2024-02-15T13:23:25Z,4323,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416005894,1075274622,COMPLETED,2024-02-15T13:15:48Z,2024-02-15T13:19:13Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416004656,1075274003,COMPLETED,2024-02-15T13:05:29Z,2024-02-15T13:05:33Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416004278,1075273814,COMPLETED,2024-02-15T13:02:20Z,2024-02-15T13:06:23Z,4142,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416004198,1075273774,COMPLETED,2024-02-15T13:01:40Z,2024-02-15T13:06:25Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416003004,1075273176,COMPLETED,2024-02-15T12:51:42Z,2024-02-15T12:51:47Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416002404,1075272876,COMPLETED,2024-02-15T12:46:42Z,2024-02-15T12:49:50Z,1223,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416002288,1075272818,COMPLETED,2024-02-15T12:45:44Z,2024-02-15T12:49:50Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416001170,1075272259,COMPLETED,2024-02-15T12:36:25Z,2024-02-15T12:36:34Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416000748,1075272048,COMPLETED,2024-02-15T12:32:54Z,2024-02-15T12:36:29Z,1093,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416000498,1075271923,COMPLETED,2024-02-15T12:30:49Z,2024-02-15T12:35:33Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415999388,1075271369,COMPLETED,2024-02-15T12:21:35Z,2024-02-15T12:21:43Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415998850,1075271099,COMPLETED,2024-02-15T12:17:05Z,2024-02-15T12:21:10Z,1824,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415998738,1075271044,COMPLETED,2024-02-15T12:16:10Z,2024-02-15T12:21:11Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415997430,1075270389,COMPLETED,2024-02-15T12:05:15Z,2024-02-15T12:05:30Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415997042,1075270196,COMPLETED,2024-02-15T12:02:02Z,2024-02-15T12:09:37Z,2235,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415996966,1075270157,COMPLETED,2024-02-15T12:01:23Z,2024-02-15T12:07:47Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415995736,1075269542,COMPLETED,2024-02-15T11:51:08Z,2024-02-15T11:51:16Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415995246,1075269297,COMPLETED,2024-02-15T11:47:03Z,2024-02-15T11:52:22Z,1117,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415995178,1075269263,COMPLETED,2024-02-15T11:46:29Z,2024-02-15T11:49:24Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415993848,1075268598,COMPLETED,2024-02-15T11:35:24Z,2024-02-15T11:35:51Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415993438,1075268393,COMPLETED,2024-02-15T11:31:59Z,2024-02-15T11:37:16Z,1148,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415993308,1075268329,COMPLETED,2024-02-15T11:30:55Z,2024-02-15T11:35:52Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415992190,1075267770,COMPLETED,2024-02-15T11:21:36Z,2024-02-15T11:21:46Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415991646,1075267498,COMPLETED,2024-02-15T11:17:04Z,2024-02-15T11:20:02Z,1769,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415991500,1075267424,COMPLETED,2024-02-15T11:15:50Z,2024-02-15T11:19:31Z,55175,-1,-1,-1,-1,-1,
